ILCTR,USDI - FISH & WILDLIFE SERVICE (Chautauqua)
ILCYR,USDI - FISH & WILDLIFE SERVICE (Cypress Creek)
ILILR,USDI - FISH & WILDLIFE SERVICE (Illinois River)
ILMTR,USDI - FISH & WILDLIFE SERVICE (Mark Twain)
ILSVR,"USDI - FISH & WILDLIFE SERVICE (Savanna District, Upper Mississippi)"
ILTWR,USDI - FISH & WILDLIFE SERVICE (Two Rivers)
INBOR,USDI - FISH & WILDLIFE SERVICE (Big Oaks)
INMSR,USDI - FISH & WILDLIFE SERVICE (Muscatatuck)
INPKR,USDI - FISH & WILDLIFE SERVICE (Patoka River)
MIDRR,USDI - FISH & WILDLIFE SERVICE (Detroit River IWR)
MIHAR,USDI - FISH & WILDLIFE SERVICE (Harbor Island)
MIHFR,USDI - FISH & WILDLIFE SERVICE (Hiawatha Forest NFH)
MIHUR,USDI - FISH & WILDLIFE SERVICE (Huron)
MIKWR,USDI - FISH & WILDLIFE SERVICE (Kirtlandsrbler)
MIMIR,USDI - FISH & WILDLIFE SERVICE (Michigan Island)
MIMWR,USDI - FISH & WILDLIFE SERVICE (MIchigan)
MIPCR,USDI - FISH & WILDLIFE SERVICE (Pendills Creek NFH)
MISNR,USDI - FISH & WILDLIFE SERVICE (Seney)
MISSR,USDI - FISH & WILDLIFE SERVICE (Shiawassee)
MNAGR,USDI - FISH & WILDLIFE SERVICE (Agassiz)
MNBGR,USDI - FISH & WILDLIFE SERVICE (Big Stone)
MNBNR,USDI - FISH & WILDLIFE SERVICE (Morris)
MNCMR,USDI - FISH & WILDLIFE SERVICE (Crane Meadows)
MNDLR,USDI - FISH & WILDLIFE SERVICE (Detroit Lakes)
MNFFR,USDI - FISH & WILDLIFE SERVICE (Fergus Falls)
MNHSR,USDI - FISH & WILDLIFE SERVICE (Hamden Slough)
MNLFR,USDI - FISH & WILDLIFE SERVICE (Litchfield)
MNMGR,"USDI - FISH & WILDLIFE SERVICE (McGregor District, Upper Mississippi)"
MNMVR,USDI - FISH & WILDLIFE SERVICE (Minnesota Valley)
MNRLR,USDI - FISH & WILDLIFE SERVICE (Rice Lake)
MNRYR,USDI - FISH & WILDLIFE SERVICE (Rydell)
MNSBR,USDI - FISH & WILDLIFE SERVICE (Sherburne)
MNTMR,USDI - FISH & WILDLIFE SERVICE (Tamarac)
MNWWR,USDI - FISH & WILDLIFE SERVICE (Windom)
MOBMR,USDI - FISH & WILDLIFE SERVICE (Big Muddy)
MOGRR,USDI - FISH & WILDLIFE SERVICE (Great Rivers)
MOMOR,USDI - FISH & WILDLIFE SERVICE (Mingo)
MOSQR,USDI - FISH & WILDLIFE SERVICE (Squaw Creek)
MOSWR,USDI - FISH & WILDLIFE SERVICE (Swan Lake)
OHOTR,USDI - FISH & WILDLIFE SERVICE (Ottawa)
WILPR,USDI - FISH & WILDLIFE SERVICE (Leopold)
WIGNR,USDI - FISH & WILDLIFE SERVICE (Genoa NFH)
WIHRR,USDI - FISH & WILDLIFE SERVICE (Horicon)
WIIRR,USDI - FISH & WILDLIFE SERVICE (Illinois River)
WIJRR,USDI - FISH & WILDLIFE SERVICE (Jordan River NFH)
WILCR,"USDI - FISH & WILDLIFE SERVICE (LaCrosse District, Upper Mississippi)"
WINCR,USDI - FISH & WILDLIFE SERVICE (Necedah)
WISCR,USDI - FISH & WILDLIFE SERVICE (St. Croix)
WITPR,USDI - FISH & WILDLIFE SERVICE (Trempeleau)
WIWCR,USDI - FISH & WILDLIFE SERVICE (Whittlesey Creek)
WIWNR,"USDI - FISH & WILDLIFE SERVICE (WInona District, Upper Mississippi)"
WVCVR,USDI - FISH & WILDLIFE SERVICE (Canaan Valley)
WVOHR,USDI - FISH & WILDLIFE SERVICE (Ohio River Islands)
CTSMR,USDI - FISH & WILDLIFE SERVICE (Stewart B. McKinney)
DEBHR,USDI - FISH & WILDLIFE SERVICE (Bombay Hook)
DEPHR,USDI - FISH & WILDLIFE SERVICE (Prime Hook)
MAEMR,USDI - FISH & WILDLIFE SERVICE (Eastern Massachusetts  Complex)
MAPRR,USDI - FISH & WILDLIFE SERVICE (Parker River)
MASCR,USDI - FISH & WILDLIFE SERVICE (Sylvio O. Conte)
MDBWR,USDI - FISH & WILDLIFE SERVICE (Chesapeake Marshlands  Complex)
MDENR,USDI - FISH & WILDLIFE SERVICE (Eastern Neck)
MDPWR,USDI - FISH & WILDLIFE SERVICE (Patuxent)
MEARR,USDI - FISH & WILDLIFE SERVICE (Arrostook)
MECMR,USDI - FISH & WILDLIFE SERVICE (Maine Coastal Islands  Complex)
MEMHR,USDI - FISH & WILDLIFE SERVICE (Moosehorn)
MERCR,USDI - FISH & WILDLIFE SERVICE (Rachel Carson)
MESHR,USDI - FISH & WILDLIFE SERVICE (Sunkhaze Mdows)
NHGBR,USDI - FISH & WILDLIFE SERVICE (Grt Bay  NH)
NHUBR,USDI - FISH & WILDLIFE SERVICE (Lake Umbagog  NH)
NJCMR,USDI - FISH & WILDLIFE SERVICE (Cape May  NJ)
NJERR,USDI - FISH & WILDLIFE SERVICE (Edwin B. Forsythe  NJ)
NJGSR,USDI - FISH & WILDLIFE SERVICE (Grt Swamp  NJ)
NJSPR,USDI - FISH & WILDLIFE SERVICE (Supawna Mdows  NJ)
NJWKR,USDI - FISH & WILDLIFE SERVICE (Walkill River  NJ)
NYIRR,USDI - FISH & WILDLIFE SERVICE (Iroquois  NY)
NYLIR,USDI - FISH & WILDLIFE SERVICE (Long Island  Complex NY)
NYMZR,USDI - FISH & WILDLIFE SERVICE (Montezuma  NY)
PAERR,USDI - FISH & WILDLIFE SERVICE (Erie  PA)
PATNR,USDI - FISH & WILDLIFE SERVICE (John Heinz at Tinicum  PA)
RIRIR,USDI - FISH & WILDLIFE SERVICE (Rhode Island  Complex RI)
VTMQR,USDI - FISH & WILDLIFE SERVICE (Missisquoi  VT)
CTWFP,USDI - NATIONAL PARK SERVICE (Weir Farm NHS)
MAADP,USDI - NATIONAL PARK SERVICE (Adams NHS)
MABOP,USDI - NATIONAL PARK SERVICE (Boston NHP)
MABSP,USDI - NATIONAL PARK SERVICE (Boston Support Office)
MACCP,USDI - NATIONAL PARK SERVICE (Cape Cod National Seashore)
MAFRP,USDI - NATIONAL PARK SERVICE (Frederick Law Olmsted NHS)
MAJFP,USDI - NATIONAL PARK SERVICE (John Fitzgerald Kennedy NHS)
MALOP,USDI - NATIONAL PARK SERVICE (Longfellow NHS)
MALWP,USDI - NATIONAL PARK SERVICE (Lowell NHP)
MAMIP,USDI - NATIONAL PARK SERVICE (Minute Man NHP)
MASAP,USDI - NATIONAL PARK SERVICE (Salem ritime NHS)
MASIP,USDI - NATIONAL PARK SERVICE (Saugus Iron Works NHS)
MASPP,USDI - NATIONAL PARK SERVICE (Springfield Armory NHS)
MDAIP,USDI - NATIONAL PARK SERVICE (Assateague Island NS)
MDFMP,USDI - NATIONAL PARK SERVICE (Ft. McHenry NM)
MDHAP,USDI - NATIONAL PARK SERVICE (Hampton NHS)
MDTSP,USDI - NATIONAL PARK SERVICE (Thomas Stone NHS)
MEACP,USDI - NATIONAL PARK SERVICE (Acadia NP)
